Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Georeference
ELEC,50 Yard Line Lot,Lennox Road,,Schenectady,NY,12308,,866-816-7584,E,,Public,,,,,,,2,,,EV Connect,http://evconnect.com/,GPS,42.816655,-73.924784,05/13/2023,155029,2023-05-13 01:26:26,,,,04/03/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.924784 42.816655)
ELEC,Bokman Chevrolet,81 S Main St,,Wellsville,NY,14895,,585-593-4150,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,1,,,Non-Networked,,GPS,42.118569,-77.941288,09/14/2022,226524,2023-02-14 15:54:11,P,,,08/25/2022,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CAR_DEALER,,,,,,,,,,,,,,,,,POINT (-77.9412882487685 42.1185690979935)
ELEC,Woodlawn Branch Library,2 Sanford St,,Schenectady,NY,12304,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,,,,4,,,LIVINGSTON,https://www.solution.energy,GPS,42.779920,-73.904690,07/12/2022,223249,2023-02-14 15:54:11,LG,,,03/03/2022,,,,,J1772,US,,,,Public,,public,,,LIBRARY,,,,,,,,,,,,,,,,,POINT (-73.90469 42.77992)
ELEC,HARMONY MILLS 1 WEST 1,Mohawk St & Cohoes Mills,,Cohoes,NY,12047,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.781628,-73.705720,05/13/2023,174734,2023-05-13 00:18:31,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.70572 42.781628)
ELEC,ADELPHI UNIV STATION 02,1 South Ave,,Garden City,NY,11530,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.719585,-73.650042,05/13/2023,171552,2023-05-13 00:20:02,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.650042 40.719585)
ELEC,MONTANTE SOLAR STATION 5,1277 Delaware Ave,,Buffalo,NY,14209,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.918190,-78.867114,05/13/2023,217203,2023-05-13 00:31:51,,,,05/08/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.867114 42.91819)
ELEC,HYATT POUGHKEPS HYATT POUGHKEPS,2165 South Rd,,Poughkeepsie,NY,12601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.636660,-73.919620,05/13/2023,143493,2023-05-13 00:16:23,,,,08/15/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.91962 41.63666)
ELEC,ADKHOSPITALITY HAMPTON INN 1.2,2133 U.S. 9,,Lake George,NY,12845,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.409214,-73.712700,05/13/2023,185360,2023-05-13 00:25:28,,,,02/25/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.7127 43.409214)
ELEC,ROCKLAND LANDNG ROCKLAND,1200 Rt 9w,,South Nyack,NY,10960,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.080885,-73.921504,05/13/2023,165270,2023-05-13 00:22:05,,,,08/15/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.921504 41.080885)
ELEC,QUEENSBURY TOWN EXIT 18 KIOSK 2,105 Main St,,Queensbury,NY,12804,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.298496,-73.676940,05/13/2023,181131,2023-05-13 00:22:55,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.67694 43.298496)
ELEC,HIX PLATTSBURGH STATION 2,118 Hammond Ln,,Plattsburgh,NY,12901,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.694843,-73.497986,05/13/2023,193467,2023-05-13 00:27:17,,,,08/04/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.497986 44.694843)
ELEC,Exit 21 (Catskill),370 NY-23,,Catskill,NY,12451,,866-816-7584,E,,Public,,,,,,,2,,,EV Connect,http://evconnect.com/,GPS,42.246692,-73.885289,05/13/2023,168464,2023-05-13 01:26:40,,,,08/17/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.885289 42.246692)
ELEC,Angelina's Ristorante - Tesla Destination,399 Ellis St,,Staten Island,NY,10307,,718-227-2900  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.513465,-74.251418,10/06/2022,115240,2023-01-18 15:15:20,P,,,01/11/2016,,,,,TESLA,US,,,,Public,,public,,,RESTAURANT,,,,,,,Free,,,,,,,,,,POINT (-74.251418 40.513465)
ELEC,Quaker Ridge Golf Club,146 Griffen Ave,,Scarsdale,NY,10583,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,,,,4,,,LIVINGSTON,https://www.solution.energy,GPS,40.966360,-73.764800,07/12/2022,223231,2023-02-14 15:54:11,P,,,02/08/2022,,,,,J1772,US,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,,,,,,,,,,,POINT (-73.7648 40.96636)
ELEC,HGI TROY HILTON TROY 1.1,243 Hoosick St,,Troy,NY,12180,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.739590,-73.670850,05/13/2023,154778,2023-05-13 00:20:51,,,,03/27/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.67085 42.73959)
ELEC,MOTM WOODBURY,150 Crossways Park Dr. West,,Woodbury,NY,11797,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.807074,-73.488735,05/13/2023,170244,2023-05-13 00:11:17,,,,12/17/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.488735 40.807074)
ELEC,MPG 1-50 51st Ave - Tesla Destination,1-50 51st Ave,,Long Island City,NY,11101,,718-433-1420  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.743049,-73.959245,10/06/2022,114968,2023-01-18 15:15:20,P,,,05/15/2018,,,,,TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,POINT (-73.959245 40.743049)
ELEC,652 Albany Shaker Rd,652 Albany Shaker Rd,,Albany,NY,12211,,844-623-1001,E,,Public - Credit card at all times,24 hours daily,A CREDIT D M V,,,,,2,,,LIVINGSTON,https://www.solution.energy,GPS,42.725870,-73.793670,09/14/2022,225125,2023-02-14 15:54:11,P,,,06/30/2022,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,PARKING_LOT,,,,,,,,,,,,,,,,,POINT (-73.79367 42.72587)
ELEC,Pratt and Whitney HMI Metal Powders,2395 Main St,,Clayville,NY,13322,,866-816-7584,E,,Public,,,,,,,2,,,EV Connect,http://evconnect.com/,GPS,42.978795,-75.250506,05/13/2023,166427,2023-05-13 01:26:36,,,,01/16/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-75.250506 42.978795)
ELEC,Rochester Institute of Technology - Lot T,1 Lomb Memorial Dr,Located across from the GIS building,Rochester,NY,14623,,585-475-5000,E,,Public,24 hours daily; access restricted to students and staff 5am-5pm; parking pass required,,,,,,6,,,Non-Networked,,200-9,43.087790,-77.674413,03/08/2023,63988,2023-03-08 17:16:33,P,,,10/01/2013,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,POINT (-77.674413 43.08779)
ELEC,Mirror Lake Inn Resort,77 Mirror Lake Dr,,Lake Placid,NY,12946,,518-523-2544,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,3,,,Non-Networked,,GPS,44.293968,-73.982843,10/11/2022,227692,2023-02-14 15:54:11,P,,,09/13/2022,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,HOTEL,,,,,,,,,,,,,,,,,POINT (-73.9828432321793 44.293968397298)
ELEC,POUGHEEPSIE EV POUGHKEEPSIE 1,41 Civic Center Plaza,,Poughkeepsie,NY,12601,,888-758-4389,E,,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.704770,-73.927310,05/13/2023,183106,2023-05-13 00:17:01,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.92731 41.70477)
ELEC,TOWN OF BABYLON TOWN HALL 2,N Jefferson Ave,,Lindenhurst,NY,11757,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.704729,-73.375555,05/13/2023,162277,2023-05-13 00:11:23,,,,06/12/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.375555 40.704729)
ELEC,NATIONAL GRID SUNY NANOTECH,257 Fuller Rd,,Albany,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.690456,-73.833055,05/13/2023,162241,2023-05-13 00:12:24,,,,06/12/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.833055 42.690456)
ELEC,"Brixmor Parkway Plaza (Carle Place, NY)",207-225 Glen Cove Rd,,Carle Place,NY,11514,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,40.748090,-73.616880,05/13/2023,203023,2023-05-13 00:42:06,,,,12/24/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.61688 40.74809)
ELEC,GHMC PARKINGGARAGE10,707 E Main St,,Middletown,NY,10940,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.441810,-74.366616,05/13/2023,204666,2023-05-13 00:29:45,,,,01/12/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-74.366616 41.44181)
ELEC,Silos at Elk Street,50 Elk St,,Buffalo,NY,14210,,866-816-7584,E,,Public,,,,,,,4,,,EV Connect,http://evconnect.com/,GPS,42.869842,-78.851491,05/13/2023,230965,2023-05-13 01:26:55,,,,09/30/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.851491 42.869842)
ELEC,BETHLEHEM EV TOWN PARK #F1,261 Elm Ave,,Delmar,NY,12054,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.598020,-73.841079,05/13/2023,253884,2023-05-13 00:34:42,,,,02/11/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.841079 42.59802)
ELEC,Letchworth,1 Letchworth State Park,,Castille,NY,14846,,866-816-7584,E,,Public,,,,,,,2,,,EV Connect,http://evconnect.com/,GPS,42.590510,-78.026802,05/13/2023,123260,2023-05-13 01:26:19,,,,04/01/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.026802 42.59051)
ELEC,SUNY ADMIN LOT,8 Chenango Street (PO Box 901),,Morrisville,NY,13408,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.893032,-75.639661,05/13/2023,206376,2023-05-13 00:30:35,,,,02/15/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-75.639661 42.893032)
ELEC,WOODLAKE STATION 2,61 Woodlake Rd N,,Albany,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.677214,-73.847115,05/13/2023,51095,2023-05-13 00:17:04,,,,02/15/2013,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.847115 42.677214)
ELEC,LIN-DAN MORTY,329 E 21st St,,New York,NY,10010,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.736161,-73.980267,05/13/2023,205859,2023-05-13 00:30:12,,,,02/04/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.980267 40.736161)
ELEC,Boralex Hydro Operations,39 Hudson Falls Rd,,South Glens Falls,NY,12803,,866-816-7584,E,,Public,,,,,,,2,,,EV Connect,http://evconnect.com/,GPS,43.295544,-73.595620,05/13/2023,230796,2023-05-13 01:26:26,,,,09/30/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.59562 43.295544)
ELEC,SIENA COLLEGE FOY HALL EVSE2,Friars Dr,,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.719470,-73.753160,05/13/2023,193845,2023-05-13 00:27:39,,,,08/13/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.75316 42.71947)
ELEC,NORTHEAST IS STATION 2,880 Watervliet Shaker Rd,,Albany,NY,12205,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.738702,-73.820508,05/13/2023,194319,2023-05-13 00:28:08,,,,08/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.820508 42.738702)
ELEC,"Walmart 2152 - Albany, NY",141 Washington Ave. EXT,,Albany,NY,12205,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,42.694560,-73.848440,05/13/2023,169948,2023-05-13 00:42:24,,,,12/05/2020,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.84844 42.69456)
ELEC,799 SENECA STATION 9,799 Seneca St,,Buffalo,NY,14210,,888-758-4389,E,,Public,Mon 5:00pm - 10:00pm; Tue 5:00pm - 10:00pm; Wed 5:00pm - 10:00pm; Thu 5:00pm - 10:00pm; Fri 5:00pm - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.875123,-78.847439,05/13/2023,191251,2023-05-13 00:27:15,,,,06/19/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.847439 42.875123)
ELEC,TOWN GLENVILLE TOWN HALL EV4,Glenville Municipal Center 18 Glenridge Rd,,Glenville,NY,12302,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.867888,-73.928306,05/13/2023,175723,2023-05-13 00:21:03,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.928306 42.867888)
ELEC,79 South Ferry Road (US-B99-2XN-2),79 South Ferry Road,,Shelter Island,NY,11964,,866-576-1495,E,,Public,24 hours daily,A ACCOUNT_BALANCE D M V,,,,,1,,,RIVIAN_WAYPOINTS,https://rivian.com/experience/charging,GPS,41.057030,-72.324370,05/13/2023,225919,2023-05-13 01:25:41,,,,08/18/2022,,,,,J1772,US,,,,Public,,public,,,PUBLIC,,,,,,,,,,,,,,,,,POINT (-72.32437 41.05703)
ELEC,"Brixmor Erie Canal Centre (Syracuse, NY)",3469 ERIE BLVD,,Syracuse,NY,13214,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,43.046060,-76.066930,05/13/2023,192946,2023-05-13 00:41:49,,,,07/17/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-76.06693 43.04606)
ELEC,NYC FLEET DPR_ICAHN_3_L3,10 Central Rd,,New York,NY,10035,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.792300,-73.924680,05/13/2023,181932,2023-05-13 00:22:09,,,,01/27/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.92468 40.7923)
ELEC,WINDSOR GARDENS WGA RIGHT,55 Hobbes Ln,,Rochester,NY,14624,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.142362,-77.756011,05/13/2023,257168,2023-05-13 00:36:28,,,,03/28/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-77.756011 43.142362)
ELEC,Angola Travel Plaza East,447 I-90,,Angola,NY,14006,,866-816-7584,E,,Public,,,,,,,,1,,EV Connect,http://evconnect.com/,GPS,42.635550,-78.987908,05/13/2023,190222,2023-05-13 01:26:40,,,,03/04/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.987908 42.63555)
ELEC,352 8th St,352 8th St,,Brooklyn,NY,11215,,888-356-8911,E,,Public,24 hours daily,,,,,,2,,,FLO,https://flo.ca/,GPS,40.668517,-73.983283,05/13/2023,202165,2023-05-13 01:05:55,,,,12/08/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.983283 40.668517)
ELEC,GGMC Parking E 74th Street - Tesla Destination,300 E 74th St,,New York,NY,10021,,212-988-8026  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.769947,-73.956989,10/06/2022,115084,2023-01-18 15:15:20,P,,,12/28/2016,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,POINT (-73.956989 40.769947)
ELEC,SULLIVAN COUNTY SULLIVAN 1,14 Sturgis Rd,,Monticello,NY,12701,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.659580,-74.690820,05/13/2023,174492,2023-05-13 00:17:10,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-74.69082 41.65958)
